"Purchase","Acquista"
"Availabile","Disponibile"
"saving","di risparmio"
"Featured Departments","Reparti in Evidenza"
"Login","Accedi"
"Cart","Carrello"
"Search for a product...","Cerca un prodotto..."
"Would you like to receive exclusive offers?","Vuoi ricevere offerte esclusive?"
"Subscribe to our newsletter to receive","Iscriviti alla nostra newsletter per ricevere subito"
"a coupon","un coupon di"
"5% Discount","Sconto del 5%"
"on your first order","sul tuo primo ordine"
"I accept privacy policy","Accetto l'informativa sulla privacy"
"Discounted by","Scontato del"
"Brand: ","Marchio: "
"available","disponibile"
"Not available","Non disponibile"
"Purchase","Acquista"
"Talk to a pharmacist","Parla con un farmacista"
"Saving ","Risparmi "
"Add ","Aggiungi "
" for free shipping"," per la spedizione gratuita"
